2025-04-24 02:51:07,848 INFO    MainThread:150316 [wandb_setup.py:_flush():67] Current SDK version is 0.19.9
2025-04-24 02:51:07,849 INFO    MainThread:150316 [wandb_setup.py:_flush():67] Configure stats pid to 150316
2025-04-24 02:51:07,849 INFO    MainThread:150316 [wandb_setup.py:_flush():67] Loading settings from /home/hyperdog/.config/wandb/settings
2025-04-24 02:51:07,849 INFO    MainThread:150316 [wandb_setup.py:_flush():67] Loading settings from /home/hyperdog/octo/finetuning/wandb/settings
2025-04-24 02:51:07,849 INFO    MainThread:150316 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-04-24 02:51:07,849 INFO    MainThread:150316 [wandb_init.py:setup_run_log_directory():662] Logging user logs to /home/hyperdog/octo/finetuning/wandb/offline-run-20250424_025107-gsthcoj2/logs/debug.log
2025-04-24 02:51:07,849 INFO    MainThread:150316 [wandb_init.py:setup_run_log_directory():663] Logging internal logs to /home/hyperdog/octo/finetuning/wandb/offline-run-20250424_025107-gsthcoj2/logs/debug-internal.log
2025-04-24 02:51:07,849 INFO    MainThread:150316 [wandb_init.py:init():781] calling init triggers
2025-04-24 02:51:07,849 INFO    MainThread:150316 [wandb_init.py:init():786] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-04-24 02:51:07,849 INFO    MainThread:150316 [wandb_init.py:init():809] starting backend
2025-04-24 02:51:07,849 INFO    MainThread:150316 [wandb_init.py:init():813] sending inform_init request
2025-04-24 02:51:07,852 INFO    MainThread:150316 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-04-24 02:51:07,852 INFO    MainThread:150316 [wandb_init.py:init():823] backend started and connected
2025-04-24 02:51:07,854 INFO    MainThread:150316 [wandb_init.py:init():915] updated telemetry
2025-04-24 02:51:07,864 INFO    MainThread:150316 [wandb_init.py:init():939] communicating run to backend with 90.0 second timeout
2025-04-24 02:51:07,985 INFO    MainThread:150316 [wandb_init.py:init():1014] starting run threads in backend
2025-04-24 02:51:08,064 INFO    MainThread:150316 [wandb_run.py:_console_start():2454] atexit reg
2025-04-24 02:51:08,064 INFO    MainThread:150316 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-04-24 02:51:08,064 INFO    MainThread:150316 [wandb_run.py:_redirect():2371] Wrapping output streams.
2025-04-24 02:51:08,064 INFO    MainThread:150316 [wandb_run.py:_redirect():2394] Redirects installed.
2025-04-24 02:51:08,065 INFO    MainThread:150316 [wandb_init.py:init():1056] run started, returning control to user process
2025-04-24 02:51:16,190 INFO    MsgRouterThr:150316 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 0 handles.
